[I 2023-11-28 20:45:41,153] A new study created in memory with name: no-name-3330f25c-0ff7-4ede-b712-2d486274669a
[I 2023-11-28 20:45:49,308] Trial 0 finished with value: 0.8953526427753232 and parameters: {'lr': 0.07539325744538476, 'n_layers': 1, 'layer_size': 64}. Best is trial 0 with value: 0.8953526427753232.
[I 2023-11-28 20:46:08,044] Trial 1 finished with value: 0.954917362133857 and parameters: {'lr': 0.0031530762344935816, 'n_layers': 3, 'layer_size': 256}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:46:18,273] Trial 2 finished with value: 0.952790050728195 and parameters: {'lr': 0.00130735147468162, 'n_layers': 3, 'layer_size': 64}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:46:28,907] Trial 3 finished with value: 0.9508263786614302 and parameters: {'lr': 0.014539528479838956, 'n_layers': 3, 'layer_size': 64}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:46:36,759] Trial 4 finished with value: 0.933071510391098 and parameters: {'lr': 0.0008812220457104895, 'n_layers': 2, 'layer_size': 32}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:46:49,877] Trial 5 finished with value: 0.9477172312223858 and parameters: {'lr': 0.027325528932796977, 'n_layers': 2, 'layer_size': 256}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:47:00,921] Trial 6 finished with value: 0.9279168712158403 and parameters: {'lr': 0.00011210813254401388, 'n_layers': 3, 'layer_size': 128}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:47:10,650] Trial 7 finished with value: 0.9479626902307314 and parameters: {'lr': 0.008838784307129519, 'n_layers': 2, 'layer_size': 64}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:47:26,914] Trial 8 finished with value: 0.9513172966781214 and parameters: {'lr': 0.005673772563786307, 'n_layers': 3, 'layer_size': 128}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:47:37,168] Trial 9 finished with value: 0.9242349860906562 and parameters: {'lr': 0.00027039112252124785, 'n_layers': 3, 'layer_size': 32}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:47:45,447] Trial 10 finished with value: 0.7829324169530355 and parameters: {'lr': 1.9597056334589695e-05, 'n_layers': 1, 'layer_size': 256}. Best is trial 1 with value: 0.954917362133857.
[I 2023-11-28 20:48:04,947] Trial 11 finished with value: 0.9578628702340043 and parameters: {'lr': 0.0018725416934609266, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:48:24,969] Trial 12 finished with value: 0.9578628702340043 and parameters: {'lr': 0.0028456713402866753, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:48:38,310] Trial 13 finished with value: 0.9546719031255114 and parameters: {'lr': 0.002148452423080972, 'n_layers': 2, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:48:54,716] Trial 14 finished with value: 0.9537718867615775 and parameters: {'lr': 0.0004984038881031392, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:49:08,714] Trial 15 finished with value: 0.954917362133857 and parameters: {'lr': 0.0031801155630038465, 'n_layers': 2, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:49:26,787] Trial 16 finished with value: 0.9576992308951072 and parameters: {'lr': 0.001117943361865501, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:49:34,409] Trial 17 finished with value: 0.9419898543609884 and parameters: {'lr': 0.008011003019652305, 'n_layers': 1, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:49:42,801] Trial 18 finished with value: 0.9012436589756178 and parameters: {'lr': 0.0001990476889130972, 'n_layers': 2, 'layer_size': 32}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:49:56,523] Trial 19 finished with value: 0.9328260513827524 and parameters: {'lr': 0.026072480640593514, 'n_layers': 3, 'layer_size': 128}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:50:09,096] Trial 20 finished with value: 0.9560628375061365 and parameters: {'lr': 0.003176018456505531, 'n_layers': 2, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:50:27,624] Trial 21 finished with value: 0.9522173130420553 and parameters: {'lr': 0.0015633147892565695, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:50:44,625] Trial 22 finished with value: 0.9533627884143349 and parameters: {'lr': 0.0007340515280591027, 'n_layers': 3, 'layer_size': 256}. Best is trial 11 with value: 0.9578628702340043.
[I 2023-11-28 20:51:02,056] Trial 23 finished with value: 0.9579446899034528 and parameters: {'lr': 0.0011654151386910013, 'n_layers': 3, 'layer_size': 256}. Best is trial 23 with value: 0.9579446899034528.
[I 2023-11-28 20:51:20,694] Trial 24 finished with value: 0.9512354770086728 and parameters: {'lr': 0.004470743010201667, 'n_layers': 3, 'layer_size': 256}. Best is trial 23 with value: 0.9579446899034528.
[I 2023-11-28 20:51:38,935] Trial 25 finished with value: 0.9522991327115038 and parameters: {'lr': 0.0017386275953075686, 'n_layers': 3, 'layer_size': 256}. Best is trial 23 with value: 0.9579446899034528.
[I 2023-11-28 20:51:53,899] Trial 26 finished with value: 0.9581901489117984 and parameters: {'lr': 0.0003209823638714105, 'n_layers': 3, 'layer_size': 256}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:52:01,945] Trial 27 finished with value: 0.9176075928653248 and parameters: {'lr': 0.0004469095728505115, 'n_layers': 2, 'layer_size': 32}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:52:12,940] Trial 28 finished with value: 0.929389625265914 and parameters: {'lr': 7.790661023178346e-05, 'n_layers': 3, 'layer_size': 128}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:52:19,913] Trial 29 finished with value: 0.8856161021109474 and parameters: {'lr': 0.00035797655863014017, 'n_layers': 1, 'layer_size': 64}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:52:36,558] Trial 30 finished with value: 0.9558173784977909 and parameters: {'lr': 0.0007841988240028958, 'n_layers': 3, 'layer_size': 256}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:52:54,790] Trial 31 finished with value: 0.9554082801505482 and parameters: {'lr': 0.002274607372858598, 'n_layers': 3, 'layer_size': 256}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:53:11,632] Trial 32 finished with value: 0.9537718867615775 and parameters: {'lr': 0.0006273900133162325, 'n_layers': 3, 'layer_size': 256}. Best is trial 26 with value: 0.9581901489117984.
[I 2023-11-28 20:53:29,861] Trial 33 finished with value: 0.9592538046146294 and parameters: {'lr': 0.001094012059956473, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:53:47,383] Trial 34 finished with value: 0.9560628375061365 and parameters: {'lr': 0.0012515982239956725, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:53:57,401] Trial 35 finished with value: 0.9502536409752904 and parameters: {'lr': 0.0011045927296776535, 'n_layers': 3, 'layer_size': 64}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:54:11,676] Trial 36 finished with value: 0.9451808214694812 and parameters: {'lr': 0.00024063659251274733, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:54:28,484] Trial 37 finished with value: 0.9554900998199968 and parameters: {'lr': 0.000649178602906735, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:54:36,377] Trial 38 finished with value: 0.9371624938635248 and parameters: {'lr': 0.0018242009894113146, 'n_layers': 2, 'layer_size': 32}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:54:47,166] Trial 39 finished with value: 0.7874324987727049 and parameters: {'lr': 0.09500192625026736, 'n_layers': 3, 'layer_size': 64}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:54:58,288] Trial 40 finished with value: 0.95475372279496 and parameters: {'lr': 0.000975725780038028, 'n_layers': 3, 'layer_size': 128}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:55:16,805] Trial 41 finished with value: 0.9529536900670921 and parameters: {'lr': 0.004216646239130172, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:55:35,905] Trial 42 finished with value: 0.9565537555228277 and parameters: {'lr': 0.002442815890969353, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:55:55,694] Trial 43 finished with value: 0.9552446408116512 and parameters: {'lr': 0.006248270845795689, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:56:14,411] Trial 44 finished with value: 0.9575355915562102 and parameters: {'lr': 0.0015645301042923325, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:56:34,463] Trial 45 finished with value: 0.9536082474226805 and parameters: {'lr': 0.003100350537484302, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:56:45,462] Trial 46 finished with value: 0.9416625756831942 and parameters: {'lr': 0.0004530350856465706, 'n_layers': 2, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:57:05,118] Trial 47 finished with value: 0.9484536082474226 and parameters: {'lr': 0.012987133568318661, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:57:23,227] Trial 48 finished with value: 0.9587628865979382 and parameters: {'lr': 0.0010933234458572777, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:57:32,730] Trial 49 finished with value: 0.9360170184912453 and parameters: {'lr': 0.0009020000591412635, 'n_layers': 3, 'layer_size': 32}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:57:41,491] Trial 50 finished with value: 0.9217803960072001 and parameters: {'lr': 0.0003088925952312353, 'n_layers': 2, 'layer_size': 64}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:57:59,572] Trial 51 finished with value: 0.9578628702340043 and parameters: {'lr': 0.0013324032367242789, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:58:18,150] Trial 52 finished with value: 0.9548355424644085 and parameters: {'lr': 0.0021076261821703353, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:58:35,437] Trial 53 finished with value: 0.9572901325478645 and parameters: {'lr': 0.00095205241391862, 'n_layers': 3, 'layer_size': 256}. Best is trial 33 with value: 0.9592538046146294.
[I 2023-11-28 20:58:51,041] Trial 54 finished with value: 0.9599901816396662 and parameters: {'lr': 0.0005606843105664396, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 20:59:02,168] Trial 55 finished with value: 0.9521354933726067 and parameters: {'lr': 0.0005482557157960078, 'n_layers': 3, 'layer_size': 128}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 20:59:16,369] Trial 56 finished with value: 0.9458353788250695 and parameters: {'lr': 0.0001651009116045075, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 20:59:31,207] Trial 57 finished with value: 0.9550810014727541 and parameters: {'lr': 0.0003572318346192895, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 20:59:38,486] Trial 58 finished with value: 0.9259531991490755 and parameters: {'lr': 0.0006218831987193564, 'n_layers': 1, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 20:59:55,961] Trial 59 finished with value: 0.9577810505645558 and parameters: {'lr': 0.0014031746461331885, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:00:06,839] Trial 60 finished with value: 0.9369988545246277 and parameters: {'lr': 0.0007223088646056635, 'n_layers': 2, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:00:25,126] Trial 61 finished with value: 0.9576992308951072 and parameters: {'lr': 0.00272670946962194, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:00:43,869] Trial 62 finished with value: 0.9545900834560629 and parameters: {'lr': 0.003838303489070712, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:01:01,550] Trial 63 finished with value: 0.9587628865979382 and parameters: {'lr': 0.0018373441884979064, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:01:19,741] Trial 64 finished with value: 0.9553264604810997 and parameters: {'lr': 0.001798700308552796, 'n_layers': 3, 'layer_size': 256}. Best is trial 54 with value: 0.9599901816396662.
[I 2023-11-28 21:01:37,637] Trial 65 finished with value: 0.9603174603174603 and parameters: {'lr': 0.0010663269850729943, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:01:46,529] Trial 66 finished with value: 0.9360170184912453 and parameters: {'lr': 0.0011397155100916262, 'n_layers': 3, 'layer_size': 32}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:02:01,340] Trial 67 finished with value: 0.9601538209785633 and parameters: {'lr': 0.00048451545298257553, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:02:12,174] Trial 68 finished with value: 0.9448535427916871 and parameters: {'lr': 0.00038332539007156934, 'n_layers': 3, 'layer_size': 128}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:02:27,947] Trial 69 finished with value: 0.944526264113893 and parameters: {'lr': 0.0005616262182445295, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:02:44,514] Trial 70 finished with value: 0.9587628865979382 and parameters: {'lr': 0.0007726215017204717, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:03:01,514] Trial 71 finished with value: 0.9569628538700704 and parameters: {'lr': 0.0008604702445429817, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:03:17,050] Trial 72 finished with value: 0.9520536737031582 and parameters: {'lr': 0.00044522301911745546, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:03:33,504] Trial 73 finished with value: 0.9576992308951072 and parameters: {'lr': 0.0007806375332928062, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:03:48,103] Trial 74 finished with value: 0.9519718540337097 and parameters: {'lr': 0.00026184982566415817, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:03:58,428] Trial 75 finished with value: 0.9393716249386352 and parameters: {'lr': 0.0005252369670348356, 'n_layers': 3, 'layer_size': 64}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:04:17,411] Trial 76 finished with value: 0.9599083619702177 and parameters: {'lr': 0.0014042418779885311, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:04:36,694] Trial 77 finished with value: 0.9560628375061365 and parameters: {'lr': 0.0014226735640541915, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:04:55,694] Trial 78 finished with value: 0.95475372279496 and parameters: {'lr': 0.0010654399377835817, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:05:15,322] Trial 79 finished with value: 0.9564719358533792 and parameters: {'lr': 0.002281177572027629, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:05:36,411] Trial 80 finished with value: 0.9576174112256587 and parameters: {'lr': 0.0007117366548443904, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:05:56,319] Trial 81 finished with value: 0.9594174439535265 and parameters: {'lr': 0.001778712458686233, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
[I 2023-11-28 21:06:16,019] Trial 82 finished with value: 0.9567992145311733 and parameters: {'lr': 0.001707064173821154, 'n_layers': 3, 'layer_size': 256}. Best is trial 65 with value: 0.9603174603174603.
