Executing training
_________________________________________
Starting epoch 1
Training Epoch 1: [0%   Loss: 3.210479]
Training Epoch 1: [1%   Loss: 2.642295]
Training Epoch 1: [2%   Loss: 1.937042]
Training Epoch 1: [3%   Loss: 1.454467]
Training Epoch 1: [4%   Loss: 1.021751]
Training Epoch 1: [6%   Loss: 1.144395]
Training Epoch 1: [7%   Loss: 1.261690]
Training Epoch 1: [8%   Loss: 1.085616]
Training Epoch 1: [9%   Loss: 1.410946]
Training Epoch 1: [10%   Loss: 0.921460]
Training Epoch 1: [11%   Loss: 0.488762]
Training Epoch 1: [12%   Loss: 0.666361]
Training Epoch 1: [13%   Loss: 0.958380]
Training Epoch 1: [15%   Loss: 0.643520]
Training Epoch 1: [16%   Loss: 0.687965]
Training Epoch 1: [17%   Loss: 0.722964]
Training Epoch 1: [18%   Loss: 0.662366]
Training Epoch 1: [19%   Loss: 1.103212]
Training Epoch 1: [20%   Loss: 1.460779]
Training Epoch 1: [21%   Loss: 0.982578]
Training Epoch 1: [22%   Loss: 1.257091]
Training Epoch 1: [24%   Loss: 0.957500]
Training Epoch 1: [25%   Loss: 0.425780]
Training Epoch 1: [26%   Loss: 0.798462]
Training Epoch 1: [27%   Loss: 1.027472]
Training Epoch 1: [28%   Loss: 0.687736]
Training Epoch 1: [29%   Loss: 0.840015]
Training Epoch 1: [30%   Loss: 1.034771]
Training Epoch 1: [31%   Loss: 0.971956]
Training Epoch 1: [33%   Loss: 0.813589]
Training Epoch 1: [34%   Loss: 1.233137]
Training Epoch 1: [35%   Loss: 1.195240]
Training Epoch 1: [36%   Loss: 0.396730]
Training Epoch 1: [37%   Loss: 0.830779]
Training Epoch 1: [38%   Loss: 0.680091]
Training Epoch 1: [39%   Loss: 0.829860]
Training Epoch 1: [40%   Loss: 1.117111]
Training Epoch 1: [41%   Loss: 0.859370]
Training Epoch 1: [43%   Loss: 0.846059]
Training Epoch 1: [44%   Loss: 0.507096]
Training Epoch 1: [45%   Loss: 1.215702]
Training Epoch 1: [46%   Loss: 0.865464]
Training Epoch 1: [47%   Loss: 0.574536]
Training Epoch 1: [48%   Loss: 0.480478]
Training Epoch 1: [49%   Loss: 0.926509]
Training Epoch 1: [50%   Loss: 0.916086]
Training Epoch 1: [52%   Loss: 0.812578]
Training Epoch 1: [53%   Loss: 0.527600]
Training Epoch 1: [54%   Loss: 0.446216]
Training Epoch 1: [55%   Loss: 0.748081]
Training Epoch 1: [56%   Loss: 0.550011]
Training Epoch 1: [57%   Loss: 0.529692]
Training Epoch 1: [58%   Loss: 0.657989]
Training Epoch 1: [59%   Loss: 0.542368]
Training Epoch 1: [61%   Loss: 0.936578]
Training Epoch 1: [62%   Loss: 0.900753]
Training Epoch 1: [63%   Loss: 0.454366]
Training Epoch 1: [64%   Loss: 0.828200]
Training Epoch 1: [65%   Loss: 0.613494]
Training Epoch 1: [66%   Loss: 1.180902]
Training Epoch 1: [67%   Loss: 0.725873]
Training Epoch 1: [68%   Loss: 0.489393]
Training Epoch 1: [70%   Loss: 0.498640]
Training Epoch 1: [71%   Loss: 0.533078]
Training Epoch 1: [72%   Loss: 0.531989]
Training Epoch 1: [73%   Loss: 0.332426]
Training Epoch 1: [74%   Loss: 0.632747]
Training Epoch 1: [75%   Loss: 0.602011]
Training Epoch 1: [76%   Loss: 0.724724]
Training Epoch 1: [77%   Loss: 0.916254]
Training Epoch 1: [78%   Loss: 0.375643]
